name,birthday,origin
Fernanda Montenegro,1929-10-16,BR
Wagner Moura,1976-06-27,BR
Rodrigo Santoro,1975-08-22,BR
Sônia Braga,1950-06-08,BR
Alice Braga,1983-04-15,BR
Tony Ramos,1948-08-25,BR
Adriana Esteves,1969-12-15,BR
Lázaro Ramos,1978-11-01,BR
Taís Araújo,1978-11-25,BR
Selton Mello,1972-12-30,BR
Marieta Severo,1946-11-02,BR
Glória Pires,1963-08-23,BR
Regina Casé,1954-02-25,BR
Camila Pitanga,1977-06-14,BR
Deborah Secco,1979-11-26,BR
Mateus Solano,1981-03-20,BR
Cláudia Raia,1966-12-23,BR
Cauã Reymond,1980-05-20,BR
Mariana Ximenes,1981-04-26,BR
Bruno Gagliasso,1982-04-13,BR
Leonardo DiCaprio,1974-11-11,US
Meryl Streep,1949-06-22,US
Robert De Niro,1943-08-17,US
Al Pacino,1940-04-25,US
Tom Hanks,1956-07-09,US
Scarlett Johansson,1984-11-22,US
Brad Pitt,1963-12-18,US
Angelina Jolie,1975-06-04,US
Johnny Depp,1963-06-09,US
Jennifer Lawrence,1990-08-15,US
Denzel Washington,1954-12-28,US
Morgan Freeman,1937-06-01,US
Natalie Portman,1981-06-09,IL
Christian Bale,1974-01-30,GB
Benedict Cumberbatch,1976-07-19,GB
Emma Watson,1990-04-15,GB
Daniel Radcliffe,1989-07-23,GB
Hugh Jackman,1968-10-12,AU
Cate Blanchett,1969-05-14,AU
Chris Hemsworth,1983-08-11,AU
Nicole Kidman,1967-06-20,AU
Javier Bardem,1969-03-01,ES
Penélope Cruz,1974-04-28,ES
Marion Cotillard,1975-09-30,FR
Jean Dujardin,1972-06-19,FR
Gael García Bernal,1978-11-30,MX
Salma Hayek,1966-09-02,MX
Ken Watanabe,1959-10-21,JP
Gong Li,1965-12-31,CN